feature,importance_mean,importance_std
hemoglobin,0.021705357220725127,0.0059579773332753185
albumin,0.02064466287893851,0.00730632243159562
ldh,0.019589230838070938,0.006671747552078757
wbc,0.01943637001592112,0.006874255356475961
lymphocytes,0.017987651971694132,0.0070535397922169415
urea,0.01642895240432426,0.007098536948464926
potassium,0.013969148031904207,0.006564921367535491
plr,0.013736121354681597,0.009750331083826301
neutrophils,0.011622190110380102,0.004464309647858015
sodium,0.011413553055989739,0.005373510817994856
platelets,0.00951558015757035,0.008563104845820733
rbc,0.009345034251967543,0.006887856043064193
monocytes,0.00928459820151519,0.005013467624109929
nlr,0.006552016198595675,0.006379502838761603
hematocrit,0.006141045461491157,0.0073946931485755155
glucose,0.005140097319733333,0.004892338288500921
esr,0.002440282483377848,0.0017161574294283105
crp,0.00017092336984509126,0.004847072981137915
creatinine,-0.005896570391648079,0.0045858497973603335
